comment,likes
Dekhne se pehle comment kar deta hun,1
I think it is mix and mastered by emiway,0
Both of Karma's ep next!,0
shakti and shama breakdown pleaseeeeeeeed,0
Can anyone please recommend me more eps like Northern Nights ? Or tracks like the ones present in Northern Nights,3
Bhai hats off to u on makin vedio on emiway but pls be care full you know how that guy is for ur channels security.,0
KSHAMA review!!!,0
"Day 4 of asking to make a video on Bohemia, the pioneer of dhh.",0
"""Heart to heart"" ka review daal bhai",0
Next review on ikka's new ep,0
Music and vibe is good but personally I feel vocal felt like uneasy to ears like distorting when listening to.... . Except Maaf karo I liked that one,0
please Review papi and dino singles ,0
Honey Singh songs review,1
Alif Laila,1
To the editor: color pr thoda magenta bada do highlights bada kr,1
SOS EP  11:56,0
Take care bro thoda bimar lag rahe ho ️,1
RRR mix tape,1
please review SOS new ep,3
why no one like misunderstood track it is personaly my favourite track from this ep,5
Afaik bhul gye ye EP aur Kshama ko,1
kshma by seedhe maut,0
why everyone is sleeping on emiway’s ep,11
fo shaama shakti review,0
Alif Laila by Farhan Khan,0
Kshamaa review please  6:29,0
Kshama season,0
Still remember the day when Raftaar released Damn where him and Kr$na used  some autotune on a trap beat and the whole BKP was hating on them. Now Emiway is making whole EPs using ugly autotune ,3
"Rohan brother? Take care of your 1st yes I love Consistent Rohan 
But take care 1st ",0
Talha anjum ki album review ,0
Yashraj ka ep (meri jaan pehle naach) review Karo na,0
Zukhaam OP,0
Nazare prod by emiway bhai,0
Humble poet 2.0 review,0
"Okay one question 

Do you think this ep is like one of those promotional projects the way some countries give discounts or benefits to artists to come to their country and shoot there so via that artist their country can be promoted for more tourism?? 

Just a doubt !!",1
"I want you to review Kshama, but I think people will say you will be biased, if you liked it.  

I think you should do Alifa Laila part 2",0
Bhai team evolution RRR review,0
Next Taryaq ep of  ,0
Sos ,0
RUAB pe ek video,0
"Rohan and Emiway true friends ️
They support each other everytime 🫡",4
"Camera quality 
Sound quality 
Health quality ",9
Emiway bantai ,1
Vibe ️,1
Please create a video on dhh best top 10 music videos,0
My terrible mind,1
Bhai ruk k thoda exams chal rahe hai,1
Rohan ne jukaam ke dimag me dard kr Rakha hai ,0
Farhan khan Alif Laila,0
Kshama review when?,0
"Please One Video On ""My Terrible Mind"" Album By Talha Anjum",0
First one to arrive,0
CHAMA EP BY SHIVAM DHAKAD,3
Taryaq ep ,0
i want paapi review,0
Emiway भाई के लिए सम्मान है पता है उनके melodic गानों पर numbers नही आते फिर  भी वो बनाते हैं ,3
kshama krooo,0
Sos ep reaction,1
Emiway bantai downfall is real he can't even get 1m views,1
Bhai Alif Laila ka bhi video banao,0
I'm a rapper from Hyderabad. I'd really appreciate it if you could listen to it and give me your feedback. Thank you ,1
Hustle ke weekly reviews kb aaenge?,0
Kshama ep review,0
KSHAMA SM REVIEW,0
Rohan bhaiya aapke bhi daat yellow hai meri tarah,0
No hate but seriously emiway ep review ,1
SOS TARYAQ EP!!!,0
Ksama,0
Seedhe Maut review as well please,0
Bhai not funny rohan pe bhi kuch daal do,1
mat kar lala mat kar,1
Next review kshama ka karo,0
Ruab director's cut,0
kshama ep,0
Kshama and my terrible mind,0
11:37 taryaq ep when?????,0
Farhan khan album pls,0
Ikka ki ep ka kro bhai,0
Kshama by Seedhe Maut when?,0
Guys how is my music... Be honest,0
Video daalu back to back,0
Yooooo️,1
Seedhe maut new ep review??,0
Review KSHAMA by SM !!! ,1
Kshama review,0
"People forget emiway is the same who had the bestest hook ever ""Kaale tu kawee"" ️️️️",2
Bro react to IKKA ep too,0
Kshama ka bhi review kar do ab,0
Bhai normies bhi daalde dr dri ko dekhe hue arsa hogya ,0
Bantai LALA,0
Check RRR by aniket and Dakeit,0
Itna jyada autotune nahi achha lagta Yaar. Jaise Eminem kisi se chorus karwa leta wasia kar le to better,0
11:39 KSHAMA kaha hai ????,0
Sos ep,0
kshama kab,0
Kshama??,0
Bhai Talha Anjum ki New  Album My Terrible Mind ka Review karo Please ,0
"Bro Where is Talha Anjum 
My terrible Album key baray may kiu nhi video bna rhy 
Baki love You ",0
I want to see Rohan as Judge in Emiway's battle rap show. Agree with me?,4
bhai anjum ke album ..,0
"Kshama 
Youngsta ki ep",0
Petition for Seedhe Maut new album  review ,0
Review My Terrible mind,0
"Ruab bhi kar lo review, bahut time se due hai",0
SOS ep,0
alif laila part 2 review,0
Sare paise sound engineer ko dedo uska hi gana hein,0
My Terrible Mind,0
My terrible mind,0
Yoo,0
NEEED SHAKTI KSHAMA VIDEO,0
My terrible mind album review,0
Rohan bhai aap na auto tune use karo,0
MY TERRIBLE MIND TALHA ANJUM,0
Loka yaha hai,0
"First, reply do bhai ab",0
RRR ??,0
Wait for NNN ,0
my terrible mind,0
My terrible mind?,0
Real id se aa,0
Shama review kr,1
my terrible mind,0
TAlha anjum my terrible mind album ka review chaiye bro.,0
Hum first,0
Glazing,2
Bimari me bhi paneer acha rehta he khana,0
Sos taryaq ep..,0
Abhi bolta hoon Emiway bhai ko strike dene,0
Copy kisko kia h ? ,0
Sos,0
SOS ke Ep ka kb review aaye ga ?,1
My terrible mind pls,0
my terrible mind review?,0
Taryaq ep,0
,0
10th,0
Ye eb ko kyu cover karraa he,0
Mat kr lala Mt kr,0
Love from Odisha ️,1
Agli vdo k intro l liye underrated rap - https://youtu.be/KRBn97EvuwY?si=TMFwdqzo7XkqK8Jt,0
Nominate Rohan as Seedha Take over Judge..,1
First ,0
I thought you were not going to review emiways's projects? Due to copyright issues??,0
Sos new project...,1
 ,0
first,1
First,0
Ek baat to jabse krsna emiway beff hua emiway downfall stard hua hai fact,1
Views ke lye tujhe emiway k pas hi aana parega,2
"Emiway 
As a singer 
as a rapper",0
"Umm i don't know but i feel emiways voice sounds craked a little bit
No hate but it is what it is idk why",0
Beef ke baad ye sab kyu banjate Arijit,0
Femiway chhake ke gaane kon kon sunta h like karo ,0
Beef ke baad ye saare kyun banjate Arijit.,0
